시도,시도명,위도,경도,축척,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표,매핑코드,상태,시도단축명,지진해일발생분류,CBS연계하위시군구갯수
11,서울특별시,37.59433378,126.97765571,25000,126.76426411,37.42847786,127.18353543,37.7013645,11000,Y,서울,,25
26,부산광역시,35.10550242,129.03189246,5000,128.76140716,34.93226265,129.30406999,35.38868914,26000,Y,부산,Y,16
27,대구광역시,35.86657153,128.59352037,10000,128.350382,35.60677781,128.76337506,36.01645924,27000,Y,대구,,8
28,인천광역시,37.46838936,126.48204889,100000,124.59283719,36.92685009,126.79368077,37.98380157,28000,Y,인천,,10
29,광주광역시,35.11701784,126.9495625,25000,126.64641628,35.05209243,127.02219846,35.25930296,29000,Y,광주,,5
30,대전광역시,36.32383899,127.47507716,50000,127.24683214,36.18326642,127.55725305,36.50020298,30000,Y,대전,,5
31,울산광역시,35.57097093,129.30956524,25000,128.97091058,35.32204983,129.4648375,35.7247178,31000,Y,울산,Y,5
36,세종특별자치시,36.56081662,127.25875453,100000,127.12765776,36.4067297,127.41080633,36.73375217,36000,Y,세종,,1
41,경기도,37.31393998,127.0035969,25000,126.37866788,36.89352411,127.84944756,38.29201706,41000,Y,경기,,31
42,강원도,37.89012749,127.74006999,100000,127.10925307,37.0283295,129.3640088,38.61694393,42000,Y,강원,Y,18
43,충청북도,36.59229021,127.58501224,50000,127.27670577,36.01196058,128.65221009,37.25850691,43000,Y,충북,,11
44,충청남도,36.76412728,127.22087714,25000,125.54091412,35.97801432,127.63806581,37.08002042,44000,Y,충남,,15
45,전라북도,35.79257655,127.11966154,50000,125.96659987,35.29919615,127.91147399,36.15641112,45000,Y,전북,,14
46,전라남도,34.80313357,126.39069722,50000,125.07652628,34.00494664,127.90586942,35.48629592,46000,Y,전남,,22
47,경상북도,35.95854071,129.43792647,100000,127.79701512,35.56585613,131.87308281,37.54904718,47000,Y,경북,Y,23
48,경상남도,35.30867008,128.64926182,50000,127.57608725,34.49746433,129.22000347,35.91458306,48000,Y,경남,,18
50,제주특별자치도,33.44307252,126.53040895,10000,126.1434555,33.11249985,126.97374814,34.01321654,50000,Y,제주,,2
90,북한/일본,,,,,,,,,N,,,
